237,Saint Joseph's University,St. Joseph's,StJosephs,Hawks,A-10,stjoes
238,Saint Louis University,St. Louis,SaintLouis,Billikens,A-10,stl
239,Saint Mary's College of California,St. Mary's,StMarys,Gaels,West Coast,stmry
240,Saint Peter's University,St. Peter's,StPeters,Peacocks,MAAC,stpete
241,Sam Houston State University,Sam Houston State,SamHoustonSt,Bearkats,Southland,samhou
242,Samford University,Samford,Samford,Bulldogs,Southern,sam
243,University of San Diego,San Diego,SanDiego,Toreros,West Coast,sd
244,San Diego State University,San Diego State,SanDiegoSt,Aztecs,Mountain West,sdsu
245,University of San Francisco,San Francisco,SanFrancisco,Dons,West Coast,sanfr
246,San Jose State University,San Jose State,SanJoseSt,Spartans,Mountain West,sjsu
247,Santa Clara University,Santa Clara,SantaClara,Broncos,West Coast,santac
248,Savannah State University,,SavannahSt,Tigers,MEAC,savan
249,Seattle University,Seattle,Seattle,Redhawks,WAC,seattl
250,Seton Hall University,Seton Hall,SetonHall,Pirates,Big East,setonh
251,Siena College,Siena,Siena,Saints,MAAC,siena
252,Southern Illinois University Edwardsville,SIU Edwardsville,SIUEdwardsville,Cougars,Ohio Valley,siue
253,Southern Methodist University,SMU,SouthernMethodist,Mustangs,The American,smu
254,University of South Alabama,South Alabama,SouthAlabama,Jaguars,Sun Belt,usa
255,University of South Carolina,South Carolina,SouthCarolina,Gamecocks,SEC,sc
256,South Carolina State University,SC State,SouthCarolinaSt,Bulldogs,MEAC,scst
257,University of South Carolina Upstate,SC Upstate,SouthCarolinaUpstate,Spartans,Atlantic Sun,sc-ups
258,South Dakota State University,South Dakota State,SouthDakotaSt,Jackrabbits,The Summit,soudak
259,University of South Florida,USF,SouthFlorida,Bulls,The American,sofla
260,Southeast Missouri State University,SE Missouri State,SEMissouriSt,Redhawks,Ohio Valley,semo
261,Southeastern Louisiana University,Southeastern Louisiana,SELouisiana,Lions,Southland,sela
262,Southern Illinois University Carbondale,Southern Illinois,SouthernIllinois,Salukis,Missouri Valley,siu
263,University of Southern Mississippi,Southern Miss,SouthernMiss,Golden Eagles,Conference USA,soumis
264,Southern University,Southern,Southern,Jaguars,SWAC,sou
265,Southern Utah University,Southern Utah,SouthernUtah,Thunderbirds,Big Sky,sout
266,St. Bonaventure University,St. Bonaventure,StBonaventure,Bonnies,A-10,stbon
267,St. Francis College,St. Francis NY,StFrancisNY,Terriers,Northeast,stf-ny
268,St. Francis University,St. Francis PA,StFrancisPA,Red Flash,Northeast,stf-pa
269,Stanford University,Stanford,Stanford,Cardinal,Pac-12,stan
270,Stephen F. Austin State University,Stephen F. Austin,StephenFAustin,Lumberjacks,Southland,sfa
271,Stetson University,Stetson,Stetson,Hatters,Atlantic Sun,stet
272,Stony Brook University,Stony Brook,StonyBrook,Seawolves,America East,stnybr
273,Syracuse University,Syracuse,Syracuse,Orange,ACC,syr
274,Texas Christian University,TCU,TCU,Horned Frogs,Big 12,tcu
275,Temple University,Temple,Temple,Owls,The American,temple
276,University of Tennessee,Tennessee,Tennessee,Volunteers,SEC,tenn
277,University of Tennessee at Martin,Tennessee-Martin,TennesseeMartin,Skyhawks,Ohio Valley,tn-mar
278,Tennessee State University,Tennessee State,TennesseeSt,Tigers,Ohio Valley,tennst
279,Tennessee Technological University,Tennessee Tech,TensesseeTech,Golden Eagles,Ohio Valley,tntech
280,University of Texas at Austin,Texas,Texas,Longhorns,Big 12,tex
281,Texas A&M University-Corpus Christi,,TAMUCorpusChristi,Islanders,Southland,ta&mcc
282,Texas A&M University,Texas A & M,TexasAM,Aggies,SEC,texa&m
283,University of Texas,UTPA,TexasPanAmerican,Broncs,WAC,tex-pa
284,Texas Southern University,Texas Southern,TexasSouthern,Tigers,SWAC,txso
285,Texas State University,Texas State,TexasSt,Bobcats,Sun Belt,txst
286,Texas Tech University,,TexasTech,Red Raiders,Big 12,txtch
287,University of Toledo,Toledo,Toledo,Rockets,MAC,toledo
288,Towson University,Towson,Towson,Tigers,CAA,towson
289,Troy University,Troy,Troy,Trojans,Sun Belt,troy
290,Tulane University,Tulane,Tulane,Green Wave,The American,tulane
291,University of Alabama at Birmingham,UAB,UAB,Blazers,Conference USA,uab
292,"University of California, Davis",UC Davis,UCDavis,Aggies,Big West,ucdav
293,"University of California, Irvine",UC Irvine,UCIrvine,Anteaters,Big West,uc-irv
294,"University of California, Riverside",UC Riverside,CaliforniaRiverside,Highlanders,Big West,calrv
295,"University of California, Santa Barbara",UC Santa Barbara,UCSB,Gauchos,Big West,uc-sb
296,"University of California, Los Angeles",UCLA,UCLA,Bruins,Pac-12,ucla
297,University of Illinois at Chicago,UIC,IllinoisChicago,Flames,Horizon League,uic
298,University of Massachusetts Lowell,UMass Lowell,UMassLowell,River Hawks,America East,ma-low
299,"University of Maryland, Baltimore County",UMBC,UMBC,Retrievers,America East,umbc
300,University of Missouri,UMKC,UMKC,Kangaroos,WAC,umkc
301,University of North Carolina at Asheville,UNC Asheville,NCAsheville,Bulldogs,Big South,nc-ash
302,University of North Carolina at Greensboro,UNC Greensboro,NCGreensboro,Spartans,Southern,nc-gre
303,University of North Carolina at Wilmington,UNC Wilmington,NCWilmington,Seahawks,CAA,nc-wil
304,University of Houston,Houston,Houston,Cougars,The American,hou
305,University of Maryland Eastern Shore,UMES,MDEasternShore,Hawks,MEAC,md-es
306,University of Memphis,Memphis,Memphis,Tigers,The American,mem
307,University of Montana,Montana,Montanna,Grizzlies,Big Sky,mont
308,University of North Carolina at Charlotte,Charlotte,Charlotte,49ers,Conference USA,char
309,University of North Dakota,North Dakota,NorthDakota,North Dakota,Big Sky,nordak
310,University of North Florida,North Florida,NorthFlorida,Ospreys,Atlantic Sun,nofla
311,University of Northern Colorado,Northern Colorado,NorthernColorado,Bears,Big Sky,nocol
312,University of Northern Iowa,Northern Iowa,NorthernIowa,Panthers,Missouri Valley,noia
313,University of South Dakota,South Dakota,SouthDakota,Coyotes,The Summit,sdakst
314,University of Texas at Arlington,Texas,TXArlington,Mavericks,Sun Belt,tx-ar
315,University of the Incarnate Word,Incarnate Word,IncarnateWord,Cardinals,Southland,incwor
316,University of Tulsa,Tulsa,Tulsa,Golden Hurricane,The American,tulsa
317,University of Wisconsin-Madison,Wisconsin,Wisconsin,Badgers,Big Ten,wisc
318,University of Wyoming,Wyoming,Wyoming,Cowboys,Mountain West,wyo
319,"University of Nevada, Las Vegas",UNLV,UNLV,Runnin' Rebels,Mountain West,unlv
320,University of Southern California,USC,USC,Trojans,Pac-12,usc
321,University of Utah,Utah,Utah,Utes,Pac-12,utah
322,Utah State University,Utah State,UtahSt,Aggies,Mountain West,utahst
323,Utah Valley University,Utah Valley,UtahValleyU,Wolverines,WAC,uvu
324,University of Texas at El Paso,UTEP,UTEP,Miners,Conference USA,utep
325,University of Texas at San Antonio,UTSA,UTSA,Roadrunners,Conference USA,utsa
326,University of Vermont,UVM,Vermont,Catamounts,America East,ver
327,Valparaiso University,Valparaiso,Valparaiso,Crusaders,Horizon League,valpo
328,Vanderbilt University,Vanderbilt,Vanderbilt,Commodores,SEC,vandy
329,Virginia Commonwealth University,VCU,VirginiaCommonwealth,Rams,A-10,vcu
330,Villanova University,Villanova,Villanova,Wildcats,Big East,vill
331,University of Virginia,Virginia,Virginia,Cavaliers,ACC,uva
332,Virginia Polytechnic Institute and State University,Virginia Tech,VirginiaTech,Hokies,ACC,vatech
333,Virginia Military Institute,VMI,VirginiaMillitary,Keydets,Southern,vmi
334,Wagner College,Wagner,Wagner,Seahawks,Northeast,wagner
335,Wake Forest University,Wake Forest,WakeForest,Demon Deacons,ACC,wake
336,University of Washington,Washington,Washington,Huskies,Pac-12,wash
337,Washington State University,Washington State,WashingtonSt,Cougars,Pac-12,washst
338,Weber State University,Weber State,WeberSt,Wildcats,Big Sky,web
339,West Virginia University,West Virginia,WestVirginia,Mountaineers,Big 12,wvu
340,Western Carolina University,Western Carolina,WesternCarolina,Catamounts,Southern,wof
341,Western Illinois University,Western Illinois,WesternIllinois,Leathernecks,The Summit,westil
342,Western Kentucky University,Western Kentucky,WKU,Hilltoppers,Conference USA,westky
343,Western Michigan University,Western Michigan,WMichigan,Broncos,MAC,westmi
344,Wichita State University,Wichita State,WichitaState,Shockers,Missouri Valley,wich
345,College of William and Mary,William & Mary,WilliamMary,Tribe,CAA,w&m
346,Winthrop University,Winthrop,Winthrop,Eagles,Big South,win
347,Wofford College,Wofford,Wofford,Terriers,Southern,wcu
348,Wright State University,Wright State,WrightSt,Raiders,Horizon League,wright
349,Xavier University,Xavier,Xavier,Musketeers,Big East,xavier
350,Yale University,Yale,Yale,Bulldogs,Ivy League,yale
351,Youngstown State University,Youngstown State,YoungstownSt,Penguins,Horizon League,ysu
